Language,_id,rater_answer,a_domain,a_register,b_domain,b_register,difficulty,familiarity,question_,section,wordphrase_a,wordphrase_a_translation,wordphrase_b,wordphrase_b_translation,_unit_id,_created_at,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Answer,Score,Grouping,Market
Chinese-Traditional,5868341514,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-23 23:04:53,2020-12-23 23:03:46,False,cf_internal,1.0,45711188,TWN,3,Taipei,114.24.30.200,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5868371216,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 00:13:43,2020-12-24 00:12:08,False,cf_internal,0.9667,45516158,TWN,5,Changhua,36.232.252.39,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5868388043,no,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 00:55:32,2020-12-24 00:54:52,False,cf_internal,0.9813000000000001,46197780,TWN,3,Taipei,49.216.59.121,yes,0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868430242,no,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 02:43:48,2020-12-24 02:43:32,False,cf_internal,0.8656,46102414,AUS,2,Kellyville,101.179.219.27,yes,0,GT,ZH-ZH
Chinese-Traditional,5868447667,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 03:16:12,2020-12-24 03:14:21,False,cf_internal,0.925,45492033,HKG,0,Central District,103.244.3.61,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5868451000,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 03:22:47,2020-12-24 03:22:11,False,cf_internal,0.8929,45492267,HKG,0,Central District,123.203.180.92,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5868527271,no,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 05:34:27,2020-12-24 05:33:40,False,cf_internal,0.9259000000000001,45493055,TWN,8,Hsinchu,36.228.121.9,yes,0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868882842,no,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 08:27:11,2020-12-24 08:26:55,False,cf_internal,0.9228000000000001,46305142,TWN,21,Tainan,59.125.214.139,yes,0,Pilot 3A,ZH-ZH
Chinese-Traditional,5869387079,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 10:51:15,2020-12-24 10:50:27,False,cf_internal,0.9222,45526273,TWN,21,Tainan,218.166.15.226,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5869793859,no,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-24 14:43:51,2020-12-24 14:43:25,False,cf_internal,0.8963000000000001,46304816,TWN,2,Kaohsiung,49.159.76.14,yes,0,Pilot 3A,ZH-ZH
Chinese-Traditional,5870042740,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-25 04:56:45,2020-12-25 04:56:02,False,cf_internal,0.9216000000000001,45709019,TWN,21,Tainan,1.172.57.80,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5870048433,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-25 05:36:35,2020-12-25 05:36:22,False,cf_internal,0.9365,45709058,HKG,0,Central District,84.17.57.35,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5870083188,yes,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-25 08:10:42,2020-12-25 08:09:39,False,cf_internal,0.8952,45492778,HKG,0,Central District,124.244.22.144,yes,1,Pilot 3A,ZH-ZH
Chinese-Traditional,5870231500,no,people,slang/informal,people,slang/informal,hard,unfamiliar,1,Exact Match,半瓶醋,dabbler,半吊子,smatterer,2914023431,2020-12-25 10:22:42,2020-12-25 10:22:24,False,cf_internal,0.8911,45516010,TWN,19,Taichung,36.232.1.172,yes,0,Pilot 3A,ZH-ZH
